id_intercambio,id_objeto,usuario_id_dador,usuario_id_recibidor,saldo_dador,saldo_recibidor,fecha_transaccion
113,14924,12811,9965,31.63,32.69,2025-03-13
114,2946,17691,19451,15.65,31.97,2025-01-26
115,1083,17116,4186,39.09,42.43,2025-04-07
116,5525,17643,8998,48.13,47.18,2025-01-01
117,3793,2533,15816,46.97,42.19,2025-02-22
118,3297,13280,8601,10.49,35.31,2025-04-25
119,10360,14340,4912,10.15,26.16,2025-06-03
120,6094,18024,16799,5.88,17.32,2025-06-29
121,9820,13036,13108,15.17,16.42,2025-05-24
122,6323,15076,12986,24.46,25.89,2025-02-03
123,4346,17857,14746,24.49,18.5,2025-05-05
124,6126,17166,10897,28.29,43.9,2025-03-31
125,7214,13892,837,39.31,26.1,2025-03-03
126,5377,199,19610,43.41,18.8,2025-02-13
127,7101,13104,430,13.34,22.66,2025-02-23
128,13244,15127,17996,7.6,7.78,2025-03-01
129,5968,14526,5744,12.97,5.13,2025-02-24
130,13354,19705,6186,6.28,15.28,2025-02-27
131,3561,3061,18777,34.16,6.34,2025-03-08
132,13819,9715,12573,47.79,34.3,2025-01-21
133,8789,15837,1026,7.91,49.48,2025-03-14
134,7874,12216,19410,28.87,48.8,2025-05-27
135,204,4710,5809,13.64,27.56,2025-05-09
136,14125,17103,13737,18.59,35.21,2025-02-07
137,13775,7827,19198,7.45,21.53,2025-01-15
138,6656,6737,16379,22.08,34.66,2025-04-04
139,3796,15235,7688,39.45,24.32,2025-01-12
140,6368,8386,4605,27.25,40.42,2025-03-06
141,1244,13484,7140,35.17,34.95,2025-04-08
142,2206,7234,19216,42.65,32.8,2025-01-05
143,8541,16889,5935,20.41,11.69,2025-02-07
144,10460,3523,2215,10.62,26.97,2025-03-25
145,4115,4442,4302,40.48,44.84,2025-06-27
146,12290,12036,13420,27.41,13.64,2025-06-22
147,6760,16302,10931,45.64,12.15,2025-05-20
148,10556,9758,15279,44.86,46.75,2025-02-02
149,11960,15920,12764,23.94,9.61,2025-05-26
150,11216,13370,11709,36.31,19.64,2025-03-04
151,11803,16556,16554,22.22,40.1,2025-02-13
152,8411,5128,13795,23.81,31.06,2025-06-29
153,13375,2043,11821,8.7,45.46,2025-05-21
154,6064,11963,10725,18.45,17.43,2025-05-12
155,3809,177,8903,47.98,48.73,2025-01-03
156,3469,19124,12087,29.68,31.5,2025-02-25
157,11741,15098,19085,14.12,21.33,2025-03-03
158,4003,6907,13128,33.0,39.79,2025-02-09
159,5967,6818,10977,17.01,30.78,2025-02-14
160,10899,3874,19409,49.67,16.38,2025-02-25
161,10254,19551,5904,21.35,25.6,2025-01-24
162,13548,12710,10684,37.84,41.71,2025-03-04
163,6659,2901,17135,45.85,24.47,2025-04-11
164,8236,2814,9947,16.27,13.27,2025-01-10
165,6810,14299,2128,20.96,7.16,2025-02-05
166,10836,11102,13870,13.89,35.02,2025-05-06
167,4385,7477,10574,45.91,27.8,2025-02-24
168,11162,3529,14871,48.18,36.54,2025-01-17
169,10512,10259,19678,46.0,38.5,2025-04-12
170,1248,13783,9599,15.72,18.76,2025-02-08
171,10257,11482,17908,24.46,33.49,2025-03-21
172,2835,4963,18716,37.29,14.8,2025-02-09
173,7493,1247,14692,49.03,44.27,2025-01-27
174,5128,9135,4013,13.55,43.75,2025-01-05
175,9235,17064,6211,14.35,14.16,2025-02-19
176,10304,6868,19797,19.87,35.73,2025-06-24
177,5168,1471,18703,16.76,37.78,2025-03-27
178,14986,14326,18624,27.24,41.83,2025-06-30
179,3512,12771,11432,43.92,14.32,2025-03-29
180,2269,6588,4353,14.1,29.63,2025-02-10
181,6523,11910,3460,10.01,29.33,2025-03-06
182,13195,13677,1704,6.64,12.93,2025-01-29
183,11064,13358,9254,22.78,36.53,2025-05-16
184,6881,16690,4537,46.9,37.95,2025-01-19
185,4756,12045,13728,26.2,18.77,2025-05-04
186,4563,1129,12788,23.18,41.62,2025-03-11
187,10865,18518,7709,33.16,34.52,2025-02-13
188,1288,2447,9145,37.68,14.27,2025-06-20
189,8375,14627,378,25.2,5.54,2025-06-11
190,3551,12869,9950,25.98,48.53,2025-06-20
191,2098,17752,9135,7.09,35.71,2025-03-16
192,12154,1527,17313,40.23,35.55,2025-02-02
193,7511,2320,3407,11.79,34.09,2025-05-23
194,3517,14078,5790,39.34,13.87,2025-05-25
195,10305,2490,19873,47.62,30.79,2025-01-26
196,2967,16127,9643,47.1,23.62,2025-04-26
197,14275,19135,6169,36.26,44.42,2025-05-02
198,10102,9976,4986,25.86,35.56,2025-01-29
199,1353,18854,12976,33.28,22.91,2025-02-26
200,13028,1871,6186,36.03,8.83,2025-01-10
201,10974,5153,3433,20.81,18.51,2025-04-22
202,14910,1857,5377,23.93,16.7,2025-04-02
203,8087,17848,17809,14.79,13.16,2025-06-17
204,10557,15652,6497,20.21,32.15,2025-03-15
205,14764,243,7509,6.26,47.65,2025-01-06
206,14227,7521,15824,42.25,19.42,2025-01-03
207,10925,12816,16494,41.62,17.27,2025-05-19
208,8521,5446,3180,44.06,29.58,2025-01-09
209,14998,1362,5830,45.45,49.18,2025-04-05
210,5056,148,11787,45.27,10.4,2025-03-04
211,13102,16065,3334,46.97,25.45,2025-04-09
212,12408,5828,8345,16.94,42.42,2025-06-11
213,1751,4576,11396,17.95,42.06,2025-03-08
214,8196,6928,17760,20.98,26.15,2025-06-23
215,908,9419,1745,45.97,37.9,2025-02-26
216,37,17466,15555,44.62,35.1,2025-01-31
217,14185,13859,7837,18.48,33.93,2025-01-19
218,12443,11723,12351,8.17,16.07,2025-03-08
219,10728,10299,4357,37.01,42.67,2025-06-01
220,950,5190,9589,16.81,47.62,2025-05-01
221,6681,15378,4735,12.37,21.32,2025-06-05
222,2575,12621,15903,45.24,35.47,2025-03-13
223,1169,16315,10387,45.55,20.39,2025-02-02
224,11649,17903,8989,43.61,42.32,2025-04-18
225,13063,10831,18062,28.01,6.86,2025-06-29
226,1326,12382,3262,41.9,46.38,2025-02-28
227,13186,5460,14093,18.76,30.89,2025-06-22
228,14150,6957,2127,28.86,11.56,2025-06-15
229,12297,15368,7330,45.94,23.97,2025-04-30
230,13526,9561,59,25.98,32.5,2025-03-15
231,1369,17507,7864,35.3,21.23,2025-01-12
232,6322,1064,7265,21.41,36.39,2025-02-25
233,1126,15203,129,48.53,26.68,2025-06-24
234,1459,8700,4786,27.7,26.93,2025-02-14
235,7883,5083,4447,14.06,46.11,2025-01-02
236,423,11439,13633,12.48,27.81,2025-06-08
237,11908,12877,6408,41.7,33.72,2025-04-16
238,4984,17213,17707,18.7,31.81,2025-02-03
239,14737,373,9158,48.73,18.74,2025-03-27
240,9909,11978,16921,16.03,48.53,2025-03-27
241,8066,7675,14271,40.94,10.43,2025-01-09
242,10306,16199,14809,47.47,11.56,2025-02-03
243,5212,17188,791,41.79,37.79,2025-02-10
244,4397,9891,12792,28.77,23.88,2025-02-17
245,2126,7556,9055,24.23,45.92,2025-05-19
246,14026,16904,5809,44.92,41.89,2025-01-29
247,11923,11931,5715,35.49,18.77,2025-02-02
248,5011,11540,2322,13.32,32.49,2025-01-31
249,1567,1618,19663,31.5,39.21,2025-06-04
250,10787,16756,6974,42.84,47.49,2025-05-03
251,5520,19239,19469,12.41,27.44,2025-06-23
252,10322,5627,7266,39.59,20.41,2025-01-11
253,13835,1832,14673,31.47,38.42,2025-04-01
254,1254,11746,17284,16.49,31.51,2025-06-04
255,10614,15785,2828,10.98,34.54,2025-06-13
256,3153,6993,6129,15.75,42.45,2025-05-20
257,14668,18814,5001,47.48,5.19,2025-02-19
258,7790,14630,9363,43.68,8.98,2025-05-25
259,11410,19280,15029,13.5,23.07,2025-01-03
260,12516,16979,5828,14.26,6.63,2025-05-09
261,10217,16259,5196,27.36,29.68,2025-06-06
262,4580,10514,18807,36.84,11.09,2025-06-09
263,3060,14179,16289,38.65,18.59,2025-05-25
264,4131,17680,11088,40.06,23.5,2025-02-11
265,11550,4190,9350,31.68,11.75,2025-05-06
266,9625,18877,172,41.71,14.8,2025-04-23
267,9815,14692,1762,39.86,16.96,2025-02-05
268,8914,9154,15558,12.65,21.07,2025-06-09
269,5231,11897,5594,18.18,25.42,2025-06-23
270,14723,19971,16299,21.33,11.8,2025-06-27
271,6653,8980,4795,25.77,45.22,2025-03-09
272,4987,9855,13079,32.03,35.76,2025-02-15
273,2927,17586,13439,18.7,24.74,2025-05-06
274,5675,14148,15405,13.67,36.6,2025-05-07
275,2364,18988,9144,19.17,46.93,2025-05-18
276,5794,2708,5526,42.92,20.36,2025-06-01
277,8952,1475,7048,15.35,8.64,2025-03-18
278,14593,166,11460,48.66,10.66,2025-02-15
279,4389,143,4888,42.61,22.24,2025-02-17
280,1678,14543,5473,21.0,46.18,2025-06-29
281,11603,2876,4170,8.29,17.45,2025-02-09
282,4653,15946,1969,22.23,6.07,2025-06-14
283,10750,10661,3941,5.63,24.46,2025-02-13
284,4179,6402,7450,11.92,19.2,2025-04-28
285,1545,6665,5488,21.45,42.21,2025-02-07
286,9287,15240,3959,12.93,35.98,2025-03-20
287,12045,7325,11693,14.4,46.82,2025-04-14
288,7805,9273,12658,15.94,18.53,2025-03-28
289,2535,13979,3688,7.07,48.62,2025-04-16
290,6486,18574,1273,42.6,31.41,2025-02-05
291,3752,4395,18747,28.86,11.54,2025-05-20
292,11307,6468,15426,43.65,47.69,2025-06-10
293,481,16038,6368,10.13,17.63,2025-01-06
294,13329,13752,57,18.82,36.19,2025-01-01
295,14534,3045,17454,40.01,37.98,2025-03-07
296,949,5335,11534,29.95,35.15,2025-03-05
297,4353,17066,1729,39.51,44.03,2025-05-20
298,6952,9188,15316,20.19,47.79,2025-02-17
299,13262,13293,4075,5.62,49.63,2025-05-20
300,11477,9253,3184,25.01,41.94,2025-03-27
301,5860,18066,18535,25.35,35.2,2025-02-18
302,4758,16900,13488,17.81,35.58,2025-04-26
303,8658,2009,12136,42.08,42.7,2025-02-26
304,13695,7788,4936,40.97,38.81,2025-01-26
305,6068,17528,4241,31.22,29.55,2025-04-10
306,7173,10180,11052,49.33,40.35,2025-06-28
307,1657,11043,294,48.65,6.75,2025-05-08
308,7105,17110,2195,28.49,39.8,2025-06-10
309,6473,17424,8009,30.82,8.39,2025-01-21
310,6986,16555,2757,11.58,14.54,2025-01-27
311,6248,919,5982,34.7,42.26,2025-02-20
312,11034,9115,10944,26.66,39.32,2025-03-11
313,4384,3312,16841,23.63,31.68,2025-06-12
314,12122,5679,10015,38.03,25.77,2025-06-17
315,10392,11561,3231,33.25,32.84,2025-04-14
316,761,15256,19406,18.44,18.98,2025-06-23
317,8539,9061,1241,41.92,6.85,2025-01-17
318,5179,8497,11419,6.23,18.43,2025-06-08
319,44,18313,14055,10.14,22.11,2025-06-17
320,13982,3539,3305,31.21,43.35,2025-02-27
321,9025,19622,10342,27.27,7.51,2025-06-12
322,1751,9468,814,15.36,13.28,2025-03-29
323,2065,14736,10696,25.72,14.38,2025-03-26
324,12635,3659,14504,45.53,44.51,2025-05-16
325,12927,9381,11394,11.27,30.83,2025-05-03
326,7192,12058,12565,18.11,43.77,2025-01-27
327,12146,6720,13368,30.58,35.86,2025-06-08
328,11938,13135,4055,18.43,16.55,2025-01-26
329,6880,7904,8708,45.19,45.3,2025-01-28
330,3750,18395,18756,28.72,30.18,2025-04-17
331,11674,4781,13651,13.25,19.93,2025-03-14
332,12871,681,13178,42.05,26.56,2025-03-18
333,3133,268,3103,48.3,45.97,2025-01-23
334,620,7586,14566,41.52,23.89,2025-04-11
335,14370,3464,6847,39.19,31.22,2025-01-19
336,14224,680,13337,32.46,37.61,2025-04-16
337,1383,4258,1085,20.08,45.46,2025-02-20
338,9134,13331,17089,19.02,30.75,2025-02-14
339,9272,349,2576,17.17,7.19,2025-03-12
340,14682,7624,100,39.91,42.94,2025-05-10
341,2889,13510,19764,34.64,41.07,2025-03-17
342,4432,15947,2967,30.48,45.38,2025-02-28
343,4629,3458,18719,35.78,47.57,2025-01-02
344,1789,13304,6148,11.65,38.85,2025-01-17
345,1439,18705,11464,49.04,14.07,2025-02-20
346,9814,7072,9815,43.36,27.21,2025-04-28
347,8652,15433,18228,8.02,24.65,2025-06-27
348,8783,10824,4829,37.3,33.15,2025-02-01
349,4232,6213,13926,19.98,39.72,2025-02-05
350,4888,11109,1938,44.56,16.26,2025-01-01
351,2376,11324,4634,45.1,21.99,2025-03-24
352,3342,2701,12190,22.36,24.45,2025-01-18
353,5384,4252,4071,32.89,25.41,2025-02-20
354,12456,11419,6006,38.97,45.8,2025-02-24
355,6987,13144,4960,14.61,5.35,2025-04-11
356,5152,15891,16735,35.89,46.18,2025-02-03
357,6597,4095,3214,40.78,17.8,2025-05-30
358,13621,5878,5620,21.39,21.42,2025-02-01
359,6310,13921,7278,30.17,49.69,2025-04-16
360,8799,11700,17458,33.37,12.02,2025-05-06
361,7043,9289,1131,12.61,45.89,2025-02-26
362,2424,8497,18222,17.42,14.64,2025-04-17
363,4571,17740,4650,24.02,12.89,2025-02-25
364,7595,6498,7936,11.54,12.43,2025-03-31
365,6591,15295,19629,38.51,29.82,2025-04-19
366,8223,2293,11662,32.44,12.55,2025-02-21
367,13042,16119,13468,7.17,11.0,2025-02-20
368,9282,13116,15625,18.7,15.39,2025-02-17
369,5734,17115,16934,47.76,42.9,2025-06-11
370,11097,9837,1581,9.76,7.72,2025-04-22
371,13772,15853,2655,35.37,38.92,2025-04-23
372,1557,1363,13726,5.29,45.02,2025-02-12
373,14800,19400,13821,17.71,38.86,2025-03-19
374,10426,2901,16382,49.79,16.55,2025-06-28
375,14356,15746,2037,44.44,24.81,2025-01-17
376,841,12798,12921,19.7,14.32,2025-03-15
377,2249,4001,10378,23.17,6.02,2025-06-11
378,11280,1621,14383,23.29,30.8,2025-05-21
379,8349,9300,8599,9.75,45.92,2025-01-26
380,7327,2292,6352,42.28,12.95,2025-04-20
381,2078,16081,3080,15.68,19.0,2025-05-23
382,10718,2398,16789,19.45,24.64,2025-06-08
383,5961,1018,8003,11.99,39.6,2025-01-20
384,14538,17686,2390,16.25,18.97,2025-06-25
385,4942,1967,9287,37.16,14.21,2025-03-11
386,7183,9878,19041,25.41,37.27,2025-06-08
387,13197,17157,4989,17.89,48.77,2025-01-27
388,1185,3810,3071,15.36,33.54,2025-04-29
389,8925,9883,10674,18.88,34.74,2025-03-31
390,1308,9736,19589,33.36,17.37,2025-04-11
391,13812,3515,11703,30.76,17.46,2025-04-13
392,8190,8709,287,42.4,7.38,2025-06-08
393,13070,18901,3336,35.16,49.23,2025-04-28
394,2710,6718,883,16.78,13.69,2025-04-05
395,7854,17187,7643,36.75,37.39,2025-02-09
396,14339,3358,18170,33.41,15.48,2025-06-26
397,11268,14767,2154,19.69,7.96,2025-03-27
398,6129,17544,67,7.68,34.0,2025-05-05
399,11741,18473,16539,23.29,9.69,2025-06-20
400,8492,4292,4705,26.29,8.38,2025-03-02
401,14840,16019,5636,41.22,6.71,2025-01-05
402,9463,3112,18807,6.33,6.35,2025-01-28
403,6547,19025,17792,30.94,6.37,2025-01-04
404,8368,15989,13158,37.9,35.07,2025-02-03
405,10406,5678,9987,39.23,25.86,2025-03-29
406,4280,18186,3318,14.66,25.57,2025-06-07
407,6851,12230,2278,27.52,25.9,2025-03-20
408,223,11043,15277,7.37,36.06,2025-06-08
409,8896,16332,9418,23.54,28.55,2025-03-10
410,4284,2653,9538,42.49,41.17,2025-01-25
411,2535,9810,15503,41.38,44.59,2025-01-04
412,2298,247,9680,47.87,20.15,2025-01-16
413,9280,4026,14279,7.7,7.55,2025-06-09
414,8881,6993,8914,15.22,41.4,2025-06-29
415,10415,2958,19791,36.53,24.66,2025-01-17
416,471,8811,17492,41.34,25.06,2025-04-29
417,13935,4599,15015,20.11,19.32,2025-06-16
418,10210,18000,10128,42.46,42.36,2025-05-01
419,8102,11623,18188,20.08,15.09,2025-02-01
420,12722,12718,3657,17.07,39.97,2025-05-13
421,14661,3959,8484,22.7,12.2,2025-01-10
422,14059,3775,10835,37.34,17.7,2025-02-04
423,10672,5856,2981,10.52,6.74,2025-06-16
424,7238,1476,13541,16.11,29.28,2025-03-17
425,12093,2383,15031,16.86,44.5,2025-02-01
426,7399,13831,10863,20.86,32.76,2025-05-18
427,7514,2160,19668,9.36,15.26,2025-03-29
428,9213,12011,8601,25.49,22.81,2025-03-16
429,3779,10831,5055,30.23,46.84,2025-01-03
430,6802,19844,10061,44.88,46.86,2025-01-04
431,12584,3135,11111,8.02,45.5,2025-04-28
432,13240,6010,7555,8.92,17.65,2025-01-21
433,500,18764,16240,14.84,5.41,2025-02-26
434,3211,2316,17466,38.62,40.42,2025-02-27
435,2680,12421,6223,18.17,27.23,2025-05-19
436,759,10633,2742,41.0,15.39,2025-06-05
437,11712,13200,12789,33.53,19.38,2025-04-13
438,14872,13167,7585,49.39,16.21,2025-03-14
439,1019,4241,2369,23.45,12.13,2025-04-13
440,14046,14716,18168,41.37,45.88,2025-04-23
441,9959,16990,6294,5.02,46.98,2025-01-19
442,716,4744,16570,39.78,19.7,2025-04-24
443,11273,15296,16805,24.08,38.94,2025-01-20
444,8712,10594,14686,21.56,6.7,2025-01-18
445,14901,13645,2572,7.33,32.09,2025-06-01
446,37,2228,4760,16.59,5.46,2025-01-25
447,3865,5457,10580,11.96,13.83,2025-01-04
448,2712,17952,5395,25.26,41.66,2025-06-13
449,1261,10027,15722,38.84,14.36,2025-05-02
450,8781,8460,13397,15.52,41.43,2025-05-12
451,2427,19608,594,47.73,28.91,2025-06-28
452,12171,10740,11951,35.27,37.94,2025-01-10
453,1388,19886,10995,48.61,49.08,2025-05-09
454,3887,13772,4108,40.09,24.68,2025-01-18
455,14887,7309,6336,22.43,20.74,2025-03-17
456,5707,15682,7523,11.21,11.02,2025-02-25
457,8488,12653,9255,31.84,7.73,2025-03-10
458,4029,10342,14682,48.2,29.76,2025-01-02
459,1823,6881,17287,31.77,37.67,2025-01-16
460,11226,4542,5925,27.98,41.46,2025-04-29
461,905,14608,13699,34.92,13.5,2025-05-06
462,5539,6199,2292,16.62,6.3,2025-04-25
463,3114,7364,2134,12.86,18.77,2025-05-30
464,10501,18160,3603,49.33,14.39,2025-01-11
465,4004,4737,10096,19.81,14.96,2025-04-07
466,1172,9048,9310,9.32,20.68,2025-02-14
467,13215,5470,12793,7.35,19.12,2025-04-23
468,14572,8696,2317,15.0,42.09,2025-04-27
469,546,19695,17591,13.74,15.92,2025-03-23
470,11602,2678,14632,24.14,31.84,2025-02-22
471,12516,13464,3444,20.31,33.63,2025-04-05
472,9014,16847,1074,19.51,11.14,2025-04-16
473,14255,12478,5907,29.38,11.94,2025-06-02
474,1490,8167,18871,9.53,24.53,2025-05-01
475,7644,19045,1362,32.74,39.12,2025-05-24
476,10815,14585,2641,33.15,16.78,2025-01-31
477,7865,10616,8856,42.75,13.7,2025-02-24
478,2402,2296,1591,25.71,9.17,2025-04-06
479,10432,18848,1148,24.67,39.87,2025-02-19
480,7886,11912,12222,14.0,35.88,2025-02-26
481,10066,11426,11498,44.38,9.68,2025-05-26
482,2541,12194,9157,37.47,49.35,2025-04-10
483,3377,12953,12670,11.77,45.38,2025-01-25
484,3599,14337,14970,19.46,8.99,2025-02-17
485,12004,15603,8104,48.88,36.75,2025-01-20
486,3395,15379,11225,36.5,20.46,2025-06-18
487,2001,8137,15886,39.72,46.68,2025-05-03
488,264,15028,18592,18.7,19.92,2025-01-01
489,4815,16251,3232,13.57,5.25,2025-02-01
490,12550,7503,9431,12.43,6.4,2025-04-09
491,3947,12122,17672,35.02,40.68,2025-01-08
492,3181,3018,12008,9.39,16.27,2025-01-16
493,1750,14954,7347,31.38,23.54,2025-02-04
494,6244,15676,4779,11.44,35.83,2025-05-06
495,8509,14121,4699,49.7,14.97,2025-03-06
496,14858,18167,17793,34.22,30.62,2025-04-03
497,14891,720,5569,24.22,38.33,2025-01-19
498,1103,223,13662,11.13,38.5,2025-05-28
499,5128,17913,892,8.96,10.95,2025-06-19
500,11764,13951,4221,38.5,28.38,2025-05-15
501,10475,1302,2719,39.01,24.16,2025-03-28
502,12690,15960,3765,14.9,30.57,2025-03-05
503,6653,1616,936,47.54,9.12,2025-04-21
504,10602,16946,11889,23.81,24.15,2025-03-01
505,13651,12385,10524,49.85,12.39,2025-02-04
506,8203,10452,10039,47.27,28.62,2025-02-27
507,12308,4061,11898,37.09,14.42,2025-04-15
508,3937,15340,9598,32.45,31.85,2025-03-21
509,6352,13478,2029,30.75,38.01,2025-02-14
510,6651,7193,17989,31.84,25.64,2025-01-08
511,13797,1125,7623,44.43,39.39,2025-01-24
512,8894,18147,8002,17.6,28.75,2025-04-28
513,12406,12591,1810,34.28,8.82,2025-05-08
514,67,4578,19048,46.24,34.92,2025-02-17
515,12993,9999,5081,30.34,24.14,2025-03-12
516,4148,4951,19091,12.16,30.62,2025-02-25
517,1862,10932,13911,11.74,11.11,2025-06-06
518,14321,8798,16635,17.68,49.65,2025-02-14
519,9572,12396,7496,26.99,41.05,2025-01-02
520,157,15291,13290,7.73,43.58,2025-03-14
521,12419,635,8099,39.08,17.82,2025-05-27
522,7531,16966,2566,13.73,24.35,2025-02-14
523,9833,2765,18424,14.2,18.61,2025-03-24
524,6339,9729,14056,5.19,22.07,2025-03-20
525,7407,11414,759,36.72,34.37,2025-05-03
526,333,8349,13319,15.81,17.89,2025-03-18
527,12321,16930,9535,19.31,35.4,2025-05-04
528,2878,4501,14322,31.96,33.24,2025-01-28
529,10172,361,7937,24.29,49.78,2025-06-29
530,6539,2089,16762,13.33,42.55,2025-04-18
531,1178,17187,2937,11.52,36.67,2025-05-18
532,4467,19629,16494,24.97,13.3,2025-03-22
533,12815,5198,2802,35.2,42.43,2025-02-17
534,2060,12822,18952,10.34,28.69,2025-02-13
535,9273,9165,7675,19.99,21.59,2025-04-25
536,2596,8445,9575,26.97,37.37,2025-03-30
